country,year,sex,suicides_no,gdp_for_year ($),gdp_per_capita ($)
United Kingdom,2010,male,61257,"2,619,700,404,733",44491
United Kingdom,2011,male,63079,"2,662,085,168,499",44585
United Kingdom,2012,male,65004,"2,739,818,680,930",45594
United Kingdom,2013,male,67092,"3,022,827,781,881",49906
United Kingdom,2014,male,69117,"2,885,570,309,161",47240
United Kingdom,2015,male,71270,"4,346,734,000,000",19693
United States,1985,male,15659,"4,590,155,000,000",20588
United States,1986,male,37534,"4,870,217,000,000",21631
United States,1987,male,59263,"5,252,629,000,000",23103
United States,1988,male,80776,"5,657,693,000,000",24654
United States,1989,male,102404,"5,979,589,000,000",26004
United States,1990,male,124467,"6,174,043,000,000",26503
United States,1991,male,146546,"6,539,299,000,000",27760
United States,1992,male,168421,"6,878,718,000,000",28891
United States,1993,male,190764,"7,308,755,000,000",30375
United States,1994,male,213292,"7,664,060,000,000",31518
United States,1995,male,236070,"8,100,201,000,000",32928
United States,1996,male,258464,"8,608,515,000,000",34644
United States,1997,male,280374,"9,089,168,000,000",36164
United States,1998,male,302209,"9,660,624,000,000",38072
United States,1999,male,323102,"10,284,779,000,000",39218
United States,2000,male,344124,"10,621,824,000,000",40018
United States,2001,male,366233,"10,977,514,000,000",40845
United States,2002,male,388990,"11,510,670,000,000",42468
United States,2003,male,411687,"12,274,928,000,000",44867
United States,2004,male,434746,"13,093,726,000,000",47423
United States,2005,male,458036,"13,855,888,000,000",49666
United States,2006,male,481842,"14,477,635,000,000",51585
United States,2007,male,506543,"14,718,582,000,000",52128
United States,2008,male,532459,"14,418,739,000,000",50563
United States,2009,male,558986,"14,964,372,000,000",51989
United States,2010,male,586644,"15,517,926,000,000",53452
United States,2011,male,614919,"16,155,255,000,000",55170
United States,2012,male,643843,"16,691,517,000,000",56520
United States,2013,male,672902,"17,427,609,000,000",58531
United States,2014,male,702906,"18,120,714,000,000",60387
United States,2015,male,733725,"4,732,017,873",1729
